date,month,price_nominal,volume,price_real_lag1,price_real_lag2,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_price_real
2019-09-01,9,1.1915,3822850.67,1.2102858357241528,1.1996599723727557,False,False,False,False,False,False,False,True,False,False,False,1.2660716183189886
2019-10-01,10,1.19845,3018478.7199999997,1.2660716183189886,1.2102858357241528,False,False,False,False,False,False,False,False,True,False,False,1.2734565933482098
2019-11-01,11,1.2593,5669494.41,1.2734565933482098,1.2660716183189886,False,False,False,False,False,False,False,False,False,True,False,1.3381149718414624
2019-12-01,12,1.35955,11809974.79,1.3381149718414624,1.2734565933482098,False,False,False,False,False,False,False,False,False,False,True,1.4446392519392202
2020-01-01,1,1.338,2574209.88,1.4446392519392202,1.3381149718414624,False,False,False,False,False,False,False,False,False,False,False,1.4217405164169592
2020-02-01,2,1.3007,4386015.58,1.4217405164169592,1.4446392519392202,True,False,False,False,False,False,False,False,False,False,False,1.3727704485488126
2020-03-01,3,1.2637,5823142.22,1.3727704485488126,1.4217405164169592,False,True,False,False,False,False,False,False,False,False,False,1.274919289749798
2020-04-01,4,1.2975,13106862.43,1.274919289749798,1.3727704485488126,False,False,True,False,False,False,False,False,False,False,False,1.313259109311741
2020-05-01,5,1.2693,5988068.61,1.313259109311741,1.274919289749798,False,False,False,True,False,False,False,False,False,False,False,1.3053270259152612
2020-06-01,6,1.2908,5620829.72,1.3053270259152612,1.313259109311741,False,False,False,False,True,False,False,False,False,False,False,1.314995925020375
2020-07-01,7,1.336,22233565.29,1.314995925020375,1.3053270259152612,False,False,False,False,False,True,False,False,False,False,False,1.3397513036502209
2020-08-01,8,1.33525,12652330.96,1.3397513036502209,1.314995925020375,False,False,False,False,False,False,True,False,False,False,False,1.3672434978496826
2020-09-01,9,1.35095,37039413.07,1.3672434978496826,1.3397513036502209,False,False,False,False,False,False,False,True,False,False,False,1.3745929995929995
2020-10-01,10,1.5212,71562922.21,1.3745929995929995,1.3672434978496826,False,False,False,False,False,False,False,False,True,False,False,1.4519423499093254
2020-11-01,11,1.6757,28626655.06,1.4519423499093254,1.3745929995929995,False,False,False,False,False,False,False,False,False,True,False,1.5612596664492686
2020-12-01,12,1.5941,12661253.19,1.5612596664492686,1.4519423499093254,False,False,False,False,False,False,False,False,False,False,True,1.4483917862983826
2021-01-01,1,1.63085,36386519.27,1.4483917862983826,1.5612596664492686,False,False,False,False,False,False,False,False,False,False,False,1.3647280334728034
2021-02-01,2,1.6503,74621478.73,1.3647280334728034,1.4483917862983826,True,False,False,False,False,False,False,False,False,False,False,1.3518184796854524
2021-03-01,3,1.6498,67813981.81,1.3518184796854524,1.3647280334728034,False,True,False,False,False,False,False,False,False,False,False,1.342829236529383
2021-04-01,4,1.8578,41341114.34,1.342829236529383,1.3518184796854524,False,False,True,False,False,False,False,False,False,False,False,1.4529954637885187
2021-05-01,5,2.149,10222725.08,1.4529954637885187,1.342829236529383,False,False,False,True,False,False,False,False,False,False,False,1.521523647691872
2021-06-01,6,2.62135,24496653.3,1.521523647691872,1.4529954637885187,False,False,False,False,True,False,False,False,False,False,False,1.5106904103273395
2021-07-01,7,2.3818,19993558.26,1.5106904103273395,1.521523647691872,False,False,False,False,False,True,False,False,False,False,False,1.30316791595995
2021-08-01,8,2.365,25099620.8,1.30316791595995,1.5106904103273395,False,False,False,False,False,False,True,False,False,False,False,1.2668059349724143
2021-09-01,9,2.3913,19821875.49,1.2668059349724143,1.30316791595995,False,False,False,False,False,False,False,True,False,False,False,1.2736617842876166
2021-10-01,10,2.4625000000000004,40788632.91,1.2736617842876166,1.2668059349724143,False,False,False,False,False,False,False,False,True,False,False,1.2999524890460856
2021-11-01,11,2.8802,86116714.89,1.2999524890460856,1.2736617842876166,False,False,False,False,False,False,False,False,False,True,False,1.380067081935793
2021-12-01,12,3.8792,94796640.88,1.380067081935793,1.2999524890460856,False,False,False,False,False,False,False,False,False,False,True,1.5781294495748748
2022-01-01,1,3.6451,38546905.41,1.5781294495748748,1.380067081935793,False,False,False,False,False,False,False,False,False,False,False,1.4213686878533829
2022-02-01,2,3.59365,64401442.32,1.4213686878533829,1.5781294495748748,True,False,False,False,False,False,False,False,False,False,False,1.3641764415594273
2022-03-01,3,4.3198,340558110.72,1.3641764415594273,1.4213686878533829,False,True,False,False,False,False,False,False,False,False,False,1.4623561272850374
2022-04-01,4,4.8664,274480288.85,1.4623561272850374,1.3641764415594273,False,False,True,False,False,False,False,False,False,False,False,1.424548461696086
2022-05-01,5,5.8476,218773021.98,1.424548461696086,1.4623561272850374,False,False,False,True,False,False,False,False,False,False,False,1.4737266564177525
2022-06-01,6,6.1947,129016515.55,1.4737266564177525,1.424548461696086,False,False,False,False,True,False,False,False,False,False,False,1.375835646862854
2022-07-01,7,6.05625,117744125.52,1.375835646862854,1.4737266564177525,False,False,False,False,False,True,False,False,False,False,False,1.3167478366743488
2022-08-01,8,5.6953,42682663.71,1.3167478366743488,1.375835646862854,False,False,False,False,False,False,True,False,False,False,False,1.1887249274696834
2022-09-01,9,5.99155,63034167.19,1.1887249274696834,1.3167478366743488,False,False,False,False,False,False,False,True,False,False,False,1.310717098354918
2022-10-01,10,5.9909,56584588.37,1.310717098354918,1.1887249274696834,False,False,False,False,False,False,False,False,True,False,False,1.29440615344727
2022-11-01,11,6.01615,42867378.86,1.29440615344727,1.310717098354918,False,False,False,False,False,False,False,False,False,True,False,1.3023379153588053
2022-12-01,12,5.7886,39751007.89,1.3023379153588053,1.29440615344727,False,False,False,False,False,False,False,False,False,False,True,1.2559612922823231
