date,month,price_nominal,volume,price_real_lag1,price_real_lag2,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_price_real
2019-09-01,9,1.3468,3838758.42,1.440508099289127,1.48490851882065,False,False,False,False,False,False,False,True,False,False,False,1.5695140426523717
2019-10-01,10,1.40985,8233492.72,1.5695140426523717,1.440508099289127,False,False,False,False,False,False,False,False,True,False,False,1.6429903274676612
2019-11-01,11,1.469,6952588.61,1.6429903274676612,1.5695140426523717,False,False,False,False,False,False,False,False,False,True,False,1.7119216874490153
2019-12-01,12,1.55045,8187399.16,1.7119216874490153,1.6429903274676612,False,False,False,False,False,False,False,False,False,False,True,1.8068406945577435
2020-01-01,1,1.5928,10811338.23,1.8068406945577435,1.7119216874490153,False,False,False,False,False,False,False,False,False,False,False,1.8561939167929145
2020-02-01,2,1.59015,4545892.74,1.8561939167929145,1.8068406945577435,True,False,False,False,False,False,False,False,False,False,False,1.8402383983335264
2020-03-01,3,1.5832000000000002,8715061.86,1.8402383983335264,1.8561939167929145,False,True,False,False,False,False,False,False,False,False,False,1.814971913332569
2020-04-01,4,1.6486,8629403.07,1.814971913332569,1.8402383983335264,False,False,True,False,False,False,False,False,False,False,False,1.876821493624772
2020-05-01,5,1.6395,3133588.05,1.876821493624772,1.814971913332569,False,False,False,True,False,False,False,False,False,False,False,1.6659892287369171
2020-06-01,6,1.6216,6956473.38,1.6659892287369171,1.876821493624772,False,False,False,False,True,False,False,False,False,False,False,1.6124092671770909
2020-07-01,7,1.6984,27224116.36,1.6124092671770909,1.6659892287369171,False,False,False,False,False,True,False,False,False,False,False,1.6315081652257444
2020-08-01,8,1.7371500000000002,35729815.21,1.6315081652257444,1.6124092671770909,False,False,False,False,False,False,True,False,False,False,False,1.6403682719546744
2020-09-01,9,1.81595,45650227.67,1.6403682719546744,1.6315081652257444,False,False,False,False,False,False,False,True,False,False,False,1.697308159641088
2020-10-01,10,2.0689,65322726.79,1.697308159641088,1.6403682719546744,False,False,False,False,False,False,False,False,True,False,False,1.879109900090827
2020-11-01,11,2.1242,48125049.0,1.879109900090827,1.697308159641088,False,False,False,False,False,False,False,False,False,True,False,1.874018526687252
2020-12-01,12,2.0557,33184787.92,1.874018526687252,1.879109900090827,False,False,False,False,False,False,False,False,False,False,True,1.8147069209039544
2021-01-01,1,2.07665,34901151.12,1.8147069209039544,1.874018526687252,False,False,False,False,False,False,False,False,False,False,False,1.8254658931082983
2021-02-01,2,2.0698,42202553.43,1.8254658931082983,1.8147069209039544,True,False,False,False,False,False,False,False,False,False,False,1.8002957293206925
2021-03-01,3,2.0621,79098799.03,1.8002957293206925,1.8254658931082983,False,True,False,False,False,False,False,False,False,False,False,1.796410837180939
2021-04-01,4,2.0418,71367675.98,1.796410837180939,1.8002957293206925,False,False,True,False,False,False,False,False,False,False,False,1.7891692954784435
2021-05-01,5,2.15275,49695000.82,1.7891692954784435,1.796410837180939,False,False,False,True,False,False,False,False,False,False,False,1.8085776694950852
2021-06-01,6,2.4888,70960588.39,1.8085776694950852,1.7891692954784435,False,False,False,False,True,False,False,False,False,False,False,1.7411501329229044
2021-07-01,7,2.3714,90599332.16,1.7411501329229044,1.8085776694950852,False,False,False,False,False,True,False,False,False,False,False,1.5813550280074684
2021-08-01,8,2.4988,177613373.73,1.5813550280074684,1.7411501329229044,False,False,False,False,False,False,True,False,False,False,False,1.6670891987457472
2021-09-01,9,2.59215,155357007.19,1.6670891987457472,1.5813550280074684,False,False,False,False,False,False,False,True,False,False,False,1.693772869837951
2021-10-01,10,2.8054,220540465.94,1.693772869837951,1.6670891987457472,False,False,False,False,False,False,False,False,True,False,False,1.7590920491597697
2021-11-01,11,3.7623,409848260.26,1.7590920491597697,1.693772869837951,False,False,False,False,False,False,False,False,False,True,False,2.1416861160129788
2021-12-01,12,4.3571,338799433.57,2.1416861160129788,1.7590920491597697,False,False,False,False,False,False,False,False,False,False,True,2.2003332996667004
2022-01-01,1,4.1283,212608410.21,2.2003332996667004,2.1416861160129788,False,False,False,False,False,False,False,False,False,False,False,2.0983531564501376
2022-02-01,2,4.081099999999999,205923263.73,2.0983531564501376,2.2003332996667004,True,False,False,False,False,False,False,False,False,False,False,1.588718467767051
2022-03-01,3,5.1908,638589021.08,1.588718467767051,2.0983531564501376,False,True,False,False,False,False,False,False,False,False,False,1.907680999632488
2022-04-01,4,5.2514,358511631.8,1.907680999632488,1.588718467767051,False,False,True,False,False,False,False,False,False,False,False,1.8307767396457957
2022-05-01,5,5.823,453254611.47,1.8307767396457957,1.907680999632488,False,False,False,True,False,False,False,False,False,False,False,1.9672297297297296
2022-06-01,6,6.7315,408892931.89,1.9672297297297296,1.8307767396457957,False,False,False,False,True,False,False,False,False,False,False,1.6786783042394011
2022-07-01,7,6.8226,220124215.54,1.6786783042394011,1.9672297297297296,False,False,False,False,False,True,False,False,False,False,False,1.586024129995118
2022-08-01,8,6.7354,147740625.19,1.586024129995118,1.6786783042394011,False,False,False,False,False,False,True,False,False,False,False,1.5731035127055306
2022-09-01,9,6.57945,102860272.94,1.5731035127055306,1.586024129995118,False,False,False,False,False,False,False,True,False,False,False,1.582625742669521
2022-10-01,10,6.825,100021984.11,1.582625742669521,1.5731035127055306,False,False,False,False,False,False,False,False,True,False,False,1.63066851435944
2022-11-01,11,6.71665,58434169.54,1.63066851435944,1.582625742669521,False,False,False,False,False,False,False,False,False,True,False,1.6022542938931297
2022-12-01,12,6.43175,71962124.17999999,1.6022542938931297,1.63066851435944,False,False,False,False,False,False,False,False,False,False,True,1.550529157927726
2023-01-01,1,6.56855,103220482.07,1.550529157927726,1.6022542938931297,False,False,False,False,False,False,False,False,False,False,False,1.5773479336263
2023-02-01,2,6.55125,104209562.74,1.5773479336263,1.550529157927726,True,False,False,False,False,False,False,False,False,False,False,1.572174226061915
2023-03-01,3,6.3427,63496123.11,1.572174226061915,1.5773479336263,False,True,False,False,False,False,False,False,False,False,False,1.536171861754947
2023-04-01,4,6.1633,125688162.29,1.536171861754947,1.572174226061915,False,False,True,False,False,False,False,False,False,False,False,1.494749351247787
2023-05-01,5,6.5201,90008731.6,1.494749351247787,1.536171861754947,False,False,False,True,False,False,False,False,False,False,False,1.5213972372596605
2023-06-01,6,6.3985,95134787.65,1.5213972372596605,1.494749351247787,False,False,False,False,True,False,False,False,False,False,False,1.36335549305378
2023-07-01,7,6.7823,163989096.38,1.36335549305378,1.5213972372596605,False,False,False,False,False,True,False,False,False,False,False,1.3907560440461788
2023-08-01,8,7.3318,149010092.61,1.3907560440461788,1.36335549305378,False,False,False,False,False,False,True,False,False,False,False,1.4860049859137805
2023-09-01,9,7.1739,123165030.51,1.4860049859137805,1.3907560440461788,False,False,False,False,False,False,False,True,False,False,False,1.466395486693103
