year,month,price_nominal,price_real,volume
2019,7,1.2742,1.4849085188206501,297029.66000000003
2019,8,1.2361,1.440508099289127,1944410.53
2019,9,1.3468,1.5695140426523715,3838758.42
2019,10,1.40985,1.6429903274676612,8233492.72
2019,11,1.469,1.7119216874490153,6952588.61
2019,12,1.55045,1.8068406945577435,8187399.16
2020,1,1.5928,1.8561939167929145,10811338.23
2020,2,1.59015,1.8402383983335264,4545892.74
2020,3,1.5832000000000002,1.814971913332569,8715061.86
2020,4,1.6486,1.876821493624772,8629403.07
2020,5,1.6395,1.6659892287369171,3133588.05
2020,6,1.6216,1.6124092671770907,6956473.38
2020,7,1.6984,1.6315081652257444,27224116.36
2020,8,1.7371500000000002,1.6403682719546744,35729815.21
2020,9,1.81595,1.697308159641088,45650227.67
2020,10,2.0689,1.879109900090827,65322726.79
2020,11,2.1242,1.874018526687252,48125049.0
2020,12,2.0557,1.8147069209039544,33184787.92
2021,1,2.07665,1.8254658931082983,34901151.12
2021,2,2.0698,1.8002957293206925,42202553.43
2021,3,2.0621,1.796410837180939,79098799.03
2021,4,2.0418,1.7891692954784435,71367675.98
2021,5,2.15275,1.8085776694950852,49695000.82
2021,6,2.4888,1.7411501329229044,70960588.39
2021,7,2.3714,1.5813550280074684,90599332.16
2021,8,2.4988,1.6670891987457472,177613373.73
2021,9,2.59215,1.693772869837951,155357007.19
2021,10,2.8054,1.7590920491597695,220540465.94
2021,11,3.7622999999999998,2.1416861160129788,409848260.26
2021,12,4.3571,2.2003332996667004,338799433.57
2022,1,4.1283,2.0983531564501376,212608410.21
2022,2,4.081099999999999,1.588718467767051,205923263.73
2022,3,5.1908,1.907680999632488,638589021.08
2022,4,5.2514,1.8307767396457957,358511631.8
2022,5,5.823,1.9672297297297296,453254611.47
2022,6,6.7315,1.6786783042394013,408892931.89
2022,7,6.8225999999999996,1.586024129995118,220124215.54
2022,8,6.7354,1.5731035127055306,147740625.19
2022,9,6.57945,1.582625742669521,102860272.94
2022,10,6.825,1.63066851435944,100021984.11
2022,11,6.71665,1.6022542938931297,58434169.54
2022,12,6.43175,1.550529157927726,71962124.17999999
2023,1,6.56855,1.5773479336262999,103220482.07000001
2023,2,6.55125,1.572174226061915,104209562.74
2023,3,6.3427,1.536171861754947,63496123.11
2023,4,6.1633,1.494749351247787,125688162.29
2023,5,6.5201,1.5213972372596605,90008731.6
2023,6,6.3985,1.36335549305378,95134787.65
2023,7,6.7823,1.3907560440461788,163989096.38
2023,8,7.3318,1.4860049859137803,149010092.61
2023,9,7.1739,1.466395486693103,123165030.51
2023,10,7.3856,1.5226785419759195,224764706.11
2023,11,8.0487,1.618740195486907,261529757.34
2023,12,8.465,1.6549364613880742,259707386.95
2024,1,8.85045,1.7164009774261113,244025163.20999998
2024,2,8.9187,1.6681068342498035,148371806.65
2024,3,8.8364,1.6296405584346123,150040051.68
2024,4,9.0696,1.6298745642094667,104798031.25
2024,5,9.199,1.6258682550062744,95437602.64
2024,6,8.7699,1.5337087494097692,80218930.11
2024,7,8.7605,1.5425316500272923,102629735.03
2024,8,8.9591,1.5744235906087445,82180867.88
2024,9,10.2222,1.7340458015267175,207824759.51
2024,10,10.47705,1.7154119457724804,119165393.33
2024,11,10.7156,1.700726914896994,136181551.6
2024,12,10.63365,1.6773376869203103,108798561.09
2025,1,11.5,1.7406308651692195,19535030.2
2025,2,11.1603,1.6395087482187716,39163305.0
2025,3,11.20425,1.6132132521273377,32692870.2
2025,4,11.8713,1.659486132856184,39364259.8
2025,5,11.579049999999999,1.620399395449075,24959881.2
2025,6,12.7804,1.6285120860357547,37938457.5
2025,7,12.71385,1.5527797454749748,65093682.9
2025,8,12.4913,1.5362751970876531,90183335.6
2025,9,13.4118,1.6161326472821043,223829601.4
2025,10,13.8215,1.6343072684489952,187896748.3
2025,11,13.6284,1.6114743824715323,96468438.16
