date,month,price_nominal,volume,price_real_lag1,price_real_lag2,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_price_real
2019-09-01,9,1.1711,9634851.57,1.382225268448709,1.3602353209961162,False,False,False,False,False,False,False,True,False,False,False,1.337788439570482
2019-10-01,10,1.12,1816849.83,1.337788439570482,1.382225268448709,False,False,False,False,False,False,False,False,True,False,False,1.2794151245145078
2019-11-01,11,1.13,3445873.28,1.2794151245145078,1.337788439570482,False,False,False,False,False,False,False,False,False,True,False,1.29083847384053
2019-12-01,12,1.2006,7079243.62,1.29083847384053,1.2794151245145078,False,False,False,False,False,False,False,False,False,False,True,1.371487320082248
2020-01-01,1,1.23355,12035554.36,1.371487320082248,1.29083847384053,False,False,False,False,False,False,False,False,False,False,False,1.409127256111492
2020-02-01,2,1.2594,14953596.91,1.409127256111492,1.371487320082248,True,False,False,False,False,False,False,False,False,False,False,1.4099865651589791
2020-03-01,3,1.2639,46028908.05,1.4099865651589791,1.409127256111492,False,True,False,False,False,False,False,False,False,False,False,1.3748504296747524
2020-04-01,4,1.3151,263636782.0,1.3748504296747524,1.4099865651589791,False,False,True,False,False,False,False,False,False,False,False,1.4008308478909246
2020-05-01,5,1.3516,31232098.08,1.4008308478909246,1.3748504296747524,False,False,False,True,False,False,False,False,False,False,False,1.4061589679567208
2020-06-01,6,1.3334,9940746.58,1.4061589679567208,1.4008308478909246,False,False,False,False,True,False,False,False,False,False,False,1.4092158106108643
2020-07-01,7,1.3583,11400610.44,1.4092158106108643,1.4061589679567208,False,False,False,False,False,True,False,False,False,False,False,1.416371220020855
2020-08-01,8,1.369,8121917.09,1.416371220020855,1.4092158106108643,False,False,False,False,False,False,True,False,False,False,False,1.3397925229986298
2020-09-01,9,1.3833,13895975.38,1.3397925229986298,1.416371220020855,False,False,False,False,False,False,False,True,False,False,False,1.342748980780431
2020-10-01,10,1.702,137782609.61,1.342748980780431,1.3397925229986298,False,False,False,False,False,False,False,False,True,False,False,1.548257982352406
2020-11-01,11,1.7398,107437226.99,1.548257982352406,1.342748980780431,False,False,False,False,False,False,False,False,False,True,False,1.4610345985891835
2020-12-01,12,1.6669,58213974.31,1.4610345985891835,1.548257982352406,False,False,False,False,False,False,False,False,False,False,True,1.431183995878767
2021-01-01,1,1.7997999999999998,85420364.8,1.431183995878767,1.4610345985891835,False,False,False,False,False,False,False,False,False,False,False,1.4815607507408624
2021-02-01,2,1.74595,113864094.43,1.4815607507408624,1.431183995878767,True,False,False,False,False,False,False,False,False,False,False,1.4293491608677855
2021-03-01,3,1.79575,121349057.78,1.4293491608677855,1.4815607507408624,False,True,False,False,False,False,False,False,False,False,False,1.51706513474698
2021-04-01,4,1.9288,167313339.18,1.51706513474698,1.4293491608677855,False,False,True,False,False,False,False,False,False,False,False,1.419383324747958
2021-05-01,5,2.1572,194315076.44,1.419383324747958,1.51706513474698,False,False,False,True,False,False,False,False,False,False,False,1.366787049356903
2021-06-01,6,2.43615,147105357.46,1.366787049356903,1.419383324747958,False,False,False,False,True,False,False,False,False,False,False,1.466411846144586
2021-07-01,7,2.3582,62424734.71,1.466411846144586,1.366787049356903,False,False,False,False,False,True,False,False,False,False,False,1.3547423450336071
2021-08-01,8,2.3614,65981900.6,1.3547423450336071,1.466411846144586,False,False,False,False,False,False,True,False,False,False,False,1.3333709768492377
2021-09-01,9,2.53125,78640417.12,1.3333709768492377,1.3547423450336071,False,False,False,False,False,False,False,True,False,False,False,1.3558573035513417
2021-10-01,10,2.73955,77914065.46,1.3558573035513417,1.3333709768492377,False,False,False,False,False,False,False,False,True,False,False,1.383680993989595
2021-11-01,11,2.92905,341222772.51,1.383680993989595,1.3558573035513417,False,False,False,False,False,False,False,False,False,True,False,1.3460707720588236
2021-12-01,12,3.9151,493837419.2,1.3460707720588236,1.383680993989595,False,False,False,False,False,False,False,False,False,False,True,1.584098725470362
2022-01-01,1,3.721,226891282.11,1.584098725470362,1.3460707720588236,False,False,False,False,False,False,False,False,False,False,False,1.492818743480703
2022-02-01,2,3.814,255639380.4,1.492818743480703,1.584098725470362,True,False,False,False,False,False,False,False,False,False,False,1.3750090129064825
2022-03-01,3,4.9017,860442395.25,1.3750090129064825,1.492818743480703,False,True,False,False,False,False,False,False,False,False,False,1.5191532882910803
2022-04-01,4,5.1697,507681130.84,1.5191532882910803,1.3750090129064825,False,False,True,False,False,False,False,False,False,False,False,1.470377428254501
2022-05-01,5,5.99545,594606224.66,1.470377428254501,1.5191532882910803,False,False,False,True,False,False,False,False,False,False,False,1.4441647597254006
2022-06-01,6,6.21585,589309300.3,1.4441647597254006,1.470377428254501,False,False,False,False,True,False,False,False,False,False,False,1.3284853277479751
2022-07-01,7,5.8378,254669177.95,1.3284853277479751,1.4441647597254006,False,False,False,False,False,True,False,False,False,False,False,1.3056158164292264
2022-08-01,8,5.584300000000001,306017232.77,1.3056158164292264,1.3284853277479751,False,False,False,False,False,False,True,False,False,False,False,1.279364933904557
2022-09-01,9,5.5988500000000005,413265968.05,1.279364933904557,1.3056158164292264,False,False,False,False,False,False,False,True,False,False,False,1.3118820000937252
2022-10-01,10,5.5637,232367703.15,1.3118820000937252,1.279364933904557,False,False,False,False,False,False,False,False,True,False,False,1.3455139056831924
2022-11-01,11,5.42315,297622848.46999997,1.3455139056831924,1.3118820000937252,False,False,False,False,False,False,False,False,False,True,False,1.3513617901373003
2022-12-01,12,5.4712,218756171.89,1.3513617901373003,1.3455139056831924,False,False,False,False,False,False,False,False,False,False,True,1.373672449722564
2023-01-01,1,5.47325,179847858.09,1.373672449722564,1.3513617901373003,False,False,False,False,False,False,False,False,False,False,False,1.3431288343558283
2023-02-01,2,5.482749999999999,163866031.34,1.3431288343558283,1.373672449722564,True,False,False,False,False,False,False,False,False,False,False,1.294566962599169
2023-03-01,3,5.3576,146724344.72,1.294566962599169,1.3431288343558283,False,True,False,False,False,False,False,False,False,False,False,1.253386360977892
2023-04-01,4,5.384,181580388.62,1.253386360977892,1.294566962599169,False,False,True,False,False,False,False,False,False,False,False,1.2795589039142523
2023-05-01,5,5.6479,206445449.89,1.2795589039142523,1.253386360977892,False,False,False,True,False,False,False,False,False,False,False,1.2584727823703736
2023-06-01,6,5.4064,311197817.3,1.2584727823703736,1.2795589039142523,False,False,False,False,True,False,False,False,False,False,False,1.2088904789589014
2023-07-01,7,5.2369,914034345.99,1.2088904789589014,1.2584727823703736,False,False,False,False,False,True,False,False,False,False,False,1.221206538721638
2023-08-01,8,5.6322,22607493.6,1.221206538721638,1.2088904789589014,False,False,False,False,False,False,True,False,False,False,False,1.2360260714991111
2023-09-01,9,5.5623,73688480.43,1.2360260714991111,1.221206538721638,False,False,False,False,False,False,False,True,False,False,False,1.2186534627434655
2023-10-01,10,5.4940999999999995,58391698.54,1.2186534627434655,1.2360260714991111,False,False,False,False,False,False,False,False,True,False,False,1.212424142116297
