year,month,price_nominal,price_real,volume
2019,7,1.129,1.1996599723727557,472797.92000000004
2019,8,1.139,1.2102858357241528,4002566.9299999997
2019,9,1.1915,1.2660716183189886,3822850.67
2019,10,1.19845,1.2734565933482098,3018478.7199999997
2019,11,1.2593,1.3381149718414624,5669494.41
2019,12,1.35955,1.4446392519392202,11809974.79
2020,1,1.338,1.4217405164169592,2574209.88
2020,2,1.3007,1.3727704485488126,4386015.58
2020,3,1.2637,1.274919289749798,5823142.22
2020,4,1.2975,1.313259109311741,13106862.43
2020,5,1.2693,1.3053270259152612,5988068.61
2020,6,1.2908,1.314995925020375,5620829.72
2020,7,1.336,1.3397513036502209,22233565.29
2020,8,1.33525,1.3672434978496826,12652330.96
2020,9,1.35095,1.3745929995929997,37039413.07
2020,10,1.5212,1.4519423499093254,71562922.21
2020,11,1.6757,1.5612596664492686,28626655.060000002
2020,12,1.5941,1.4483917862983826,12661253.19
2021,1,1.6308500000000001,1.3647280334728034,36386519.27
2021,2,1.6503,1.3518184796854524,74621478.73
2021,3,1.6498,1.342829236529383,67813981.81
2021,4,1.8578,1.4529954637885187,41341114.339999996
2021,5,2.149,1.5215236476918719,10222725.08
2021,6,2.62135,1.5106904103273395,24496653.3
2021,7,2.3818,1.30316791595995,19993558.26
2021,8,2.365,1.2668059349724143,25099620.8
2021,9,2.3913,1.2736617842876166,19821875.490000002
2021,10,2.4625000000000004,1.2999524890460856,40788632.91
2021,11,2.8802,1.380067081935793,86116714.89
2021,12,3.8792,1.5781294495748748,94796640.88
2022,1,3.6451,1.4213686878533829,38546905.41
2022,2,3.5936500000000002,1.3641764415594273,64401442.32
2022,3,4.3198,1.4623561272850374,340558110.72
2022,4,4.8664,1.424548461696086,274480288.85
2022,5,5.8476,1.4737266564177525,218773021.98
2022,6,6.1947,1.375835646862854,129016515.55
2022,7,6.05625,1.3167478366743488,117744125.52
2022,8,5.6953,1.1887249274696834,42682663.71
2022,9,5.99155,1.310717098354918,63034167.19
2022,10,5.9909,1.29440615344727,56584588.37
2022,11,6.01615,1.3023379153588053,42867378.86
2022,12,5.7886,1.2559612922823233,39751007.89
2023,1,5.80655,1.262815075792175,33706995.83
2023,2,5.761150000000001,1.2504938030431294,26553569.25
2023,3,5.6196,1.221413201764872,26885685.79
2023,4,5.5636,1.2077978464744703,41021623.02
2023,5,5.953,1.267836606039954,55721253.51
2023,6,5.7909,1.1725080483508472,39109432.13
2023,7,5.7308,1.1103834453895487,77721465.17999999
2023,8,6.0299499999999995,1.1452678961463219,56134419.77
2023,9,5.6627,1.0963176643692405,30822114.78
2023,10,5.731450000000001,1.1356602203376398,56450427.01
2023,11,6.5248,1.2774438592712962,111983207.66
2023,12,7.0571,1.3253516630044886,93039861.89
2024,1,7.17825,1.3199680041190098,82016959.2
2024,2,7.3312,1.3164775175980463,59263687.65
2024,3,7.5095,1.3189370521287058,44789119.73
2024,4,7.74755,1.3269079262862231,35764476.08
2024,5,7.74625,1.304653552059824,31551373.63
2024,6,6.96485,1.2436343832583387,6341688.54
2024,7,7.0283,1.2420563390237866,102678532.65
2024,8,6.9869,1.237254520019125,59660428.52
2024,9,7.8307,1.3447648159914822,110639463.98
2024,10,8.09225,1.370545694736129,92514585.45
2024,11,8.241050000000001,1.3433501230704028,29368524.46
2024,12,8.1992,1.3231131694879696,22908715.93
2025,1,8.3421,1.3110531361486115,5165737.0
2025,2,9.0032,1.3642659069901353,18597646.15
2025,3,9.759450000000001,1.396701252236136,31969666.11
2025,4,10.9382,1.464656338292203,27297013.5
2025,5,10.3,1.3469686666317937,17367655.7
2025,6,10.5,1.2366908508433054,4740728.0
2025,7,10.9834,1.276812908325777,75460003.4
2025,8,10.7027,1.2350789327917284,48351409.85
2025,9,11.5506,1.3058165168729863,70810776.5
2025,10,11.8842,1.3288234899478946,36067978.6
2025,11,11.9782,1.3393340340362725,21238059.6
