year,month,price_nominal,price_real,volume
2019,7,1.19075,1.3602353209961162,1493788.2
2019,8,1.21,1.382225268448709,5094181.53
2019,9,1.1711,1.337788439570482,9634851.57
2019,10,1.12,1.2794151245145078,1816849.83
2019,11,1.13,1.29083847384053,3445873.28
2019,12,1.2006000000000001,1.371487320082248,7079243.62
2020,1,1.2335500000000001,1.409127256111492,12035554.36
2020,2,1.2594,1.4099865651589791,14953596.91
2020,3,1.2639,1.3748504296747524,46028908.05
2020,4,1.3151,1.4008308478909246,263636782.0
2020,5,1.3516,1.4061589679567208,31232098.08
2020,6,1.3334000000000001,1.4092158106108645,9940746.58
2020,7,1.3583,1.416371220020855,11400610.44
2020,8,1.369,1.3397925229986298,8121917.09
2020,9,1.3833,1.342748980780431,13895975.38
2020,10,1.702,1.548257982352406,137782609.61
2020,11,1.7398,1.4610345985891835,107437226.99000001
2020,12,1.6669,1.431183995878767,58213974.31
2021,1,1.7997999999999998,1.4815607507408624,85420364.8
2021,2,1.7459500000000001,1.4293491608677855,113864094.42999999
2021,3,1.79575,1.51706513474698,121349057.78
2021,4,1.9288,1.419383324747958,167313339.18
2021,5,2.1572,1.366787049356903,194315076.44
2021,6,2.43615,1.4664118461445859,147105357.46
2021,7,2.3582,1.3547423450336071,62424734.71
2021,8,2.3614,1.3333709768492377,65981900.6
2021,9,2.53125,1.3558573035513417,78640417.12
2021,10,2.73955,1.383680993989595,77914065.46
2021,11,2.92905,1.3460707720588236,341222772.51
2021,12,3.9151,1.584098725470362,493837419.2
2022,1,3.721,1.492818743480703,226891282.11
2022,2,3.814,1.3750090129064823,255639380.4
2022,3,4.9017,1.5191532882910803,860442395.25
2022,4,5.1697,1.470377428254501,507681130.84000003
2022,5,5.99545,1.4441647597254006,594606224.66
2022,6,6.21585,1.3284853277479751,589309300.3
2022,7,5.8378,1.3056158164292264,254669177.95000002
2022,8,5.584300000000001,1.279364933904557,306017232.77
2022,9,5.5988500000000005,1.3118820000937252,413265968.05
2022,10,5.5637,1.3455139056831924,232367703.15
2022,11,5.42315,1.3513617901373003,297622848.46999997
2022,12,5.4712,1.373672449722564,218756171.89
2023,1,5.47325,1.3431288343558283,179847858.09
2023,2,5.482749999999999,1.294566962599169,163866031.34
2023,3,5.3576,1.253386360977892,146724344.72
2023,4,5.384,1.2795589039142523,181580388.62
2023,5,5.6479,1.2584727823703736,206445449.89
2023,6,5.4064,1.2088904789589014,311197817.3
2023,7,5.2369,1.221206538721638,914034345.99
2023,8,5.6322,1.2360260714991111,22607493.6
2023,9,5.5623,1.2186534627434655,73688480.43
2023,10,5.4940999999999995,1.212424142116297,58391698.54
2023,11,5.68755,1.2523781212841856,158668942.01
2023,12,6.1647,1.3257989590950148,395830882.71
2024,1,6.3195,1.3217946036394057,179602539.17
2024,2,6.7078,1.3411308381317977,270209949.96999997
2024,3,6.8383,1.305666933974873,260733260.75
2024,4,7.5479,1.325215956176698,102237913.24
2024,5,7.862500000000001,1.3365234242197594,145654317.04
2024,6,7.8798,1.2765978128797084,69417655.3
2024,7,7.9162,1.2760038040587374,80820357.87
2024,8,7.9022,1.253461922814587,170107527.64
2024,9,8.9714,1.3497728161766918,401150896.98
2024,10,8.998149999999999,1.3236856041660539,440186667.85
2024,11,8.4017,1.2614596940077776,377132009.07
2024,12,8.2637,1.2490288840857908,467020993.04
2025,1,8.8474,1.2928746785129763,326968233.87
2025,2,9.40025,1.3222655151071852,416622831.42
2025,3,10.14415,1.3516162127591538,588228157.62
2025,4,10.84545,1.3570722490552818,572686033.95
2025,5,11.1659,1.387206181980818,374515106.65999997
2025,6,11.5848,1.3713879846108314,259048344.4
2025,7,11.2859,1.331371138033951,234162513.25
2025,8,11.1415,1.284456024256119,160309353.45
2025,9,11.4117,1.2864921536796539,301990302.08
2025,10,11.37055,1.2875138709604368,198370332.54
2025,11,10.9786,1.243132459179745,152987437.81
