date,t2m_c,precip_mm
2018-07-01,23.853027,0.1558996
2018-08-01,23.679657,0.14637662
2018-09-01,19.927948,0.291892
2018-10-01,13.860046,1.4084259
2018-11-01,7.9002686,1.6392881
2018-12-01,2.7571716,3.6366763
2019-01-01,0.13861084,4.9717884
2019-02-01,3.1624146,2.3696136
2019-03-01,5.48114,1.4691666
2019-04-01,8.615784,2.0433931
2019-05-01,16.753601,0.70344317
2019-06-01,20.291412,2.2743394
2019-07-01,22.00113,0.37075728
2019-08-01,22.755463,0.30858216
2019-09-01,19.399567,0.3089821
2019-10-01,15.678131,0.44031066
2019-11-01,9.893036,0.8733265
2019-12-01,3.7357483,3.5754204
2020-01-01,-0.10101318,3.3557508
2020-02-01,2.2053528,3.302716
2020-03-01,6.2239075,2.0796478
2020-04-01,10.009369,1.3821695
2020-05-01,15.73407,1.2278585
2020-06-01,19.230286,0.6602607
2020-07-01,24.55066,0.030851483
2020-08-01,23.616638,0.1255884
2020-09-01,22.222473,0.20012467
2020-10-01,16.958801,0.28710073
2020-11-01,6.800598,0.98704547
2020-12-01,4.824707,1.3783187
2021-01-01,3.0307617,2.6105714
2021-02-01,2.8778687,0.9030852
2021-03-01,4.037384,2.9429238
2021-04-01,10.917175,1.0125502
2021-05-01,17.973328,0.24006188
2021-06-01,18.418518,1.2173594
2021-07-01,23.813904,0.11670482
2021-08-01,23.51361,0.2284089
2021-09-01,17.831207,0.8584719
2021-10-01,12.905792,0.14448121
2021-11-01,9.090912,1.3993448
2021-12-01,2.3721924,3.0450199
2022-01-01,-1.7393799,4.3094916
2022-02-01,1.390686,3.1830544
2022-03-01,-0.14993286,2.4639456
2022-04-01,12.214661,0.60953844
2022-05-01,14.696716,1.3197563
2022-06-01,19.346313,1.6754007
2022-07-01,22.208252,0.07325216
2022-08-01,24.21634,0.19177438
2022-09-01,19.792664,0.12665336
2022-10-01,13.249756,0.60998136
2022-11-01,8.644928,0.3692858
2022-12-01,5.141876,0.64944273
2023-01-01,2.7054138,0.64460194
2023-02-01,-1.0654297,0.476861
2023-03-01,6.70697,1.6824379
2023-04-01,9.423309,1.1068193
2023-05-01,14.153809,1.2866479
2023-06-01,18.319885,1.2284075
2023-07-01,23.74704,0.06197641
2023-08-01,26.400421,0.066747084
2023-09-01,20.073486,0.30238065
2023-10-01,15.252716,0.3409667
2023-11-01,10.270935,1.1119946
2023-12-01,5.927826,0.8111885
2024-01-01,3.3035278,1.3611488
2024-02-01,4.9180603,0.57180214
2024-03-01,7.0646667,1.3465049
2024-04-01,14.575287,1.0940365
2024-05-01,14.858582,2.60563
2024-06-01,24.28122,0.50184053
2024-07-01,24.43747,0.5823505
2024-08-01,24.42871,0.49937162
2024-09-01,19.700165,1.3518965
2024-10-01,13.524994,0.029541178
2024-11-01,6.593048,1.6135107
2024-12-01,4.080719,2.9803529
