date,crop,price_nominal,price_real
2013-03-01,Maize (corn),595.0,679.6892848983322
2013-03-01,Wheat,668.0,778.4640484791983
2013-04-01,Barley,613.0,651.3654234406546
2013-04-01,Maize (corn),617.0,704.8206534155814
2013-04-01,Wheat,671.0,781.9601445053024
2013-05-01,Barley,608.0,646.052491764956
2013-05-01,Maize (corn),593.0,677.4046150331277
2013-05-01,Wheat,666.0,776.1333177951287
2013-06-01,Barley,579.0,615.2374880459038
2013-06-01,Maize (corn),616.0,703.6783184829792
2013-06-01,Wheat,660.0,769.1411257429204
2013-07-01,Barley,567.0,602.486452024227
2013-07-01,Maize (corn),632.0,721.955677404615
2013-07-01,Wheat,654.0,762.148933690712
2013-08-01,Barley,566.0,601.4238656890873
2013-08-01,Maize (corn),617.0,704.8206534155814
2013-08-01,Wheat,654.0,762.148933690712
2013-09-01,Barley,565.0,600.3612793539476
2013-09-01,Maize (corn),615.0,702.535983550377
2013-09-01,Wheat,657.0,765.6450297168162
2013-10-01,Barley,567.0,602.486452024227
2013-10-01,Maize (corn),615.0,702.535983550377
2013-10-01,Wheat,659.0,767.9757604008856
2013-11-01,Barley,572.0,607.7993836999257
2013-11-01,Maize (corn),641.0,732.2366917980352
2013-11-01,Wheat,663.0,772.6372217690246
2013-12-01,Barley,580.0,616.3000743810435
2013-12-01,Maize (corn),618.0,705.9629883481837
2013-12-01,Wheat,676.0,787.786971215476
2014-01-01,Barley,583.0,619.4878333864627
2014-01-01,Maize (corn),568.0,648.8462417180717
2014-01-01,Wheat,681.0,793.6137979256497
2014-02-01,Barley,588.0,624.8007650621614
2014-02-01,Maize (corn),581.0,663.6965958419008
2014-02-01,Wheat,688.0,801.7713553198928
2014-03-01,Barley,592.0,629.0511104027203
2014-03-01,Maize (corn),598.0,683.1162896961389
2014-03-01,Wheat,699.0,814.5903740822748
2014-04-01,Barley,592.0,629.0511104027203
2014-04-01,Maize (corn),619.0,707.1053232807859
2014-04-01,Wheat,698.0,813.4250087402401
2014-05-01,Barley,597.0,634.364042078419
2014-05-01,Maize (corn),624.0,712.8169979437971
2014-05-01,Wheat,708.0,825.0786621605873
2014-06-01,Barley,618.0,656.6783551163533
2014-06-01,Maize (corn),624.0,712.8169979437971
2014-06-01,Wheat,744.0,867.0318144738375
2014-07-01,Barley,640.0,680.0552544894274
2014-07-01,Maize (corn),635.0,725.3826822024217
2014-07-01,Wheat,768.0,895.0005826826709
2014-08-01,Barley,655.0,695.9940495165233
2014-08-01,Maize (corn),647.0,739.0907013936486
2014-08-01,Wheat,768.0,895.0005826826709
2014-09-01,Barley,644.0,684.3055998299862
2014-09-01,Maize (corn),641.0,732.2366917980352
2014-09-01,Wheat,781.0,910.1503321291225
2014-10-01,Barley,646.0,686.4307725002657
2014-10-01,Maize (corn),642.0,733.3790267306374
2014-10-01,Wheat,770.0,897.3313133667405
2014-11-01,Barley,651.0,691.7437041759644
2014-11-01,Maize (corn),647.0,739.0907013936486
2014-11-01,Wheat,776.0,904.3235054189488
2014-12-01,Barley,653.0,693.8688768462438
2014-12-01,Maize (corn),645.0,736.8060315284441
2014-12-01,Wheat,787.0,917.1425241813308
2015-01-01,Barley,659.0,700.2443948570822
2015-01-01,Maize (corn),640.0,731.0943568654329
2015-01-01,Wheat,789.0,919.4732548654002
2015-02-01,Barley,667.0,708.7450855382001
2015-02-01,Maize (corn),647.0,739.0907013936486
2015-02-01,Wheat,782.0,911.3156974711571
2015-03-01,Barley,663.0,704.4947401976411
2015-03-01,Maize (corn),657.0,750.514050719671
2015-03-01,Wheat,777.0,905.4888707609836
2015-04-01,Barley,660.0,701.306981192222
2015-04-01,Maize (corn),667.0,761.9374000456934
2015-04-01,Wheat,773.0,900.8274093928446
2015-05-01,Barley,668.0,709.8076718733398
2015-05-01,Maize (corn),666.0,760.7950651130911
2015-05-01,Wheat,758.0,883.3469292623237
2015-06-01,Barley,658.0,699.1818085219425
2015-06-01,Maize (corn),676.0,772.2184144391135
2015-06-01,Wheat,783.0,912.4810628131919
2015-07-01,Barley,621.0,659.8661141217725
2015-07-01,Maize (corn),674.0,769.933744573909
2015-07-01,Wheat,761.0,886.843025288428
2015-08-01,Barley,627.0,666.2416321326109
