date,t2m_min,t2m_max,t2m_mean,precipitation
2004-03-31,2.4927063,12.259827,6.845978,0.0
2004-04-01,2.433075,12.625366,7.182312,5.2601447105407715
2004-04-02,4.625885,9.374939,6.600128,2.6300723552703857
2004-04-03,2.5770874,8.444702,4.231781,0.0
2004-04-04,-1.6560364,5.688019,1.0120239,0.0
2004-04-05,-2.4463196,10.497162,4.0184326,0.0
2004-04-06,0.510437,13.360748,6.867584,0.0
2004-04-07,1.5882874,14.186188,7.5355835,0.0
2004-04-08,1.5112,15.246338,8.271881,0.0
2004-04-09,4.113434,16.929901,10.846466,0.0
2004-04-10,6.3709106,19.11261,12.843536,0.0
2004-04-11,7.9397583,21.135284,14.638611,0.0
2004-04-12,9.415985,23.25766,16.383698,0.0
2004-04-13,11.061035,24.200592,16.956573,3.498008728027344
2004-04-14,12.063141,18.6055,14.868988,2.332005739212036
2004-04-15,6.7561035,13.507446,9.346069,0.0
2004-04-16,2.6481018,9.74173,5.5770874,0.0
2004-04-17,2.0006714,14.629089,8.231964,4.651400566101074
2004-04-18,5.689209,14.755676,9.350922,3.10093355178833
2004-04-19,5.153137,12.738068,8.678589,4.651400566101074
2004-04-20,5.2072144,15.449646,10.159271,0.0
2004-04-21,6.903839,13.177216,9.515167,0.0
2004-04-22,6.5171814,12.0289,8.594788,9.003087043762207
2004-04-23,5.391144,10.4644165,7.511017,0.0
2004-04-24,4.6647644,14.292145,9.289886,0.0
2004-04-25,5.1065063,15.481781,10.42218,0.0
2004-04-26,6.5730286,17.782318,12.374237,0.0
2004-04-27,8.822601,16.152191,12.272797,0.0
2004-04-28,7.1199646,15.490631,10.845459,0.0
2004-04-29,6.1879272,15.635132,10.438232,0.0
2004-04-30,6.1130066,15.79129,10.900299,0.0
2004-05-01,7.042633,17.240997,12.298218,14.572869300842283
2004-05-02,8.700348,17.341736,12.667938,0.0
2004-05-03,7.615509,16.710297,11.878937,0.0
2004-05-04,7.894287,18.328949,13.31546,0.0
2004-05-05,9.009735,20.913239,15.36142,0.0
2004-05-06,12.563507,21.560486,15.938873,7.293121814727783
2004-05-07,9.763367,22.707367,16.05722,0.0
2004-05-08,10.483154,21.943298,16.070435,0.0
2004-05-09,9.9844055,21.53064,15.824005,0.0
2004-05-10,11.438049,22.116425,16.789886,0.0
2004-05-11,11.184174,20.980194,15.757965,0.0
2004-05-12,9.2994995,17.655823,12.973938,0.0
2004-05-13,9.059113,21.177734,14.936676,0.0
2004-05-14,10.955048,19.708954,14.754669,0.0
2004-05-15,9.000214,16.292206,12.227692,0.0
2004-05-16,7.3430176,14.150513,10.401764,0.0
2004-05-17,7.2626038,16.467041,11.946625,0.0
2004-05-18,6.987549,15.145721,11.133118,0.0
2004-05-19,7.210449,13.635437,10.101105,0.0
2004-05-20,5.4942627,16.710663,11.185486,0.0
2004-05-21,7.853241,19.350922,14.023651,0.0
2004-05-22,9.636597,21.098053,15.60553,0.0
2004-05-23,9.90329,22.3974,16.372528,0.0
2004-05-24,10.389587,23.384491,17.140076,0.0
2004-05-25,10.696777,22.683105,17.075012,0.0
2004-05-26,12.093445,21.521423,16.17566,0.0
2004-05-27,10.750427,20.200256,14.933044,0.0
2004-05-28,8.92395,19.945465,14.332001,0.0
2004-05-29,10.475372,22.111542,16.493073,0.0
2004-05-30,12.59964,22.427856,17.636993,0.0
2004-05-31,11.807861,19.299225,15.531372,0.0
2004-06-01,10.271088,19.593597,15.138702,0.0
2004-06-02,11.506195,20.47467,16.097595,0.0
2004-06-03,11.18988,21.127838,16.277008,0.0
2004-06-04,11.511749,22.494324,17.345734,0.0
2004-06-05,13.204193,25.026794,19.513672,0.0
2004-06-06,13.958405,25.135956,20.147675,0.0
2004-06-07,14.553528,25.487366,20.015015,0.0
2004-06-08,13.204132,20.798523,16.802002,0.0
2004-06-09,11.503876,19.106476,15.199371,0.0
2004-06-10,10.9921875,21.216919,16.256592,0.0
2004-06-11,11.538025,22.163605,16.925995,0.0
2004-06-12,12.721313,25.386383,19.57138,0.0
2004-06-13,15.422943,27.738373,22.04721,0.0
2004-06-14,16.997711,28.723755,23.077667,0.0
2004-06-15,16.892242,26.689056,21.725494,0.0
2004-06-16,15.454376,25.787079,20.562134,0.0
2004-06-17,16.100739,27.751984,22.206299,0.0
2004-06-18,17.367493,27.651459,22.152924,8.30644702911377
2004-06-19,17.039062,25.054138,21.141449,0.0
2004-06-20,14.733826,25.023651,20.066376,0.0
2004-06-21,16.161255,26.480804,21.762543,0.0
2004-06-22,17.196228,26.073914,21.63266,0.0
2004-06-23,16.446625,23.39804,19.233673,10.399749755859377
2004-06-24,13.805817,20.019104,16.400024,4.019920349121094
2004-06-25,12.958527,22.016785,17.619293,0.0
2004-06-26,14.349701,25.402649,20.11621,0.0
2004-06-27,15.882355,27.06482,21.74591,0.0
2004-06-28,16.099792,24.659637,19.974915,2.2552425861358643
2004-06-29,14.216034,24.85559,19.38324,0.0
2004-06-30,14.626068,27.8042,21.588318,0.0
2004-07-01,16.131805,26.282593,20.860199,0.0
2004-07-02,15.565399,27.606476,21.676178,0.0
2004-07-03,17.249115,29.13504,23.459686,0.0
2004-07-04,17.854858,29.248535,23.593933,0.0
2004-07-05,16.889069,28.592438,22.43924,0.0
2004-07-06,16.453644,29.583221,22.787964,0.0
2004-07-07,18.287292,31.253998,24.900177,0.0
2004-07-08,19.046173,29.570435,23.941467,0.0
2004-07-09,18.22174,28.299957,22.744476,0.0
2004-07-10,17.241272,27.943085,22.213531,0.0
2004-07-11,16.468872,29.304688,22.91388,0.0
2004-07-12,18.318237,31.720642,25.524414,0.0
2004-07-13,20.075623,31.380432,25.485962,0.0
2004-07-14,19.441254,30.306671,24.845734,0.0
2004-07-15,16.932526,26.180206,20.848236,0.0
2004-07-16,15.609039,22.234283,18.00998,3.85088849067688
